Location,Order Id,Order #,Checks,Opened,# of Guests,Tab Names,Server,Table,Revenue Center,Dining Area,Service,Dining Options,Discount Amount,Amount,Tax,Tip,Gratuity,Total,Voided,Paid,Closed,Duration (Opened to Paid),Order Source
Cupertino,600000034844865847,2,2,1/20/25 11:04 AM,1,,Default Online Ordering,B5,Dining Room,Dining Room,Lunch,Dine In,0.00,48.65,4.45,7.96,0.00,61.06,false,1/20/25 11:35 AM,1/20/25 11:35 AM,00:30:39,Order-and-Pay-at-Table
Cupertino,600000034844976787,5,5,1/20/25 11:07 AM,1,DD 60594cb3 Preeti M,Default Online Ordering,,Doordash,,Lunch,DoorDash - Delivery,0.00,68.05,5.75,0.00,0.00,73.80,false,1/20/25 11:07 AM,1/20/25 11:07 AM,00:00:00,API
Cupertino,600000034845108500,3,3,1/20/25 11:05 AM,1,DD 4de34e92 PickUp-Jane K,Default Online Ordering,,Doordash,,Lunch,DoorDash - Takeout,0.00,16.25,1.48,0.00,0.00,17.73,false,1/20/25 11:05 AM,1/20/25 11:05 AM,00:00:00,API
Cupertino,600000034845118653,4,4,1/20/25 11:06 AM,1,,Default Online Ordering,A2,Dining Room,Dining Room,Lunch,Dine In,0.00,26.05,2.39,4.27,0.00,32.71,false,1/20/25 11:42 AM,1/20/25 11:42 AM,00:36:37,Order-and-Pay-at-Table
Cupertino,600000034845514645,1,1,1/20/25 10:26 AM,1,,Yafang Chen,,None,,Breakfast,Take Out,0.00,62.90,5.75,0.00,0.00,68.65,false,1/20/25 11:17 AM,1/20/25 11:17 AM,00:51:13,In Store
Cupertino,600000034845773016,8,8,1/20/25 11:24 AM,4,,Yafang Chen,A4,Dining Room,Dining Room,Lunch,Dine In,0.00,49.80,4.55,8.15,0.00,62.50,false,1/20/25 12:17 PM,1/20/25 12:17 PM,00:53:12,In Store
Cupertino,600000034845845862,9,9,1/20/25 11:29 AM,1,DD 5dfe8ba9 Olivia H,Default Online Ordering,,Doordash,,Lunch,DoorDash - Delivery,0.00,109.55,10.00,0.00,0.00,119.55,false,1/20/25 11:29 AM,1/20/25 11:29 AM,00:00:00,API
Cupertino,600000034846244923,10,10,1/20/25 11:37 AM,2,,Yafang Chen,B4,Dining Room,Dining Room,Lunch,Dine In,7.30,67.60,6.18,10.00,0.00,83.78,false,1/20/25 12:16 PM,1/20/25 12:16 PM,00:39:19,In Store
Cupertino,600000034846364468,11,11,1/20/25 11:41 AM,2,,Yafang Chen,A3,Dining Room,Dining Room,Lunch,Dine In,0.00,29.30,2.68,4.80,0.00,36.78,false,1/20/25 12:36 PM,1/20/25 12:36 PM,00:55:21,In Store
Cupertino,600000034846543744,16,16,1/20/25 11:55 AM,1,,Default Online Ordering,A2,Dining Room,Dining Room,Lunch,Dine In,0.00,24.05,2.20,4.72,0.00,30.97,false,1/20/25 12:28 PM,1/20/25 12:28 PM,00:33:42,Order-and-Pay-at-Table
Cupertino,600000034846555539,15,15,1/20/25 11:54 AM,1,,Default Online Ordering,A5,Dining Room,Dining Room,Lunch,Dine In,0.00,42.40,3.88,4.00,0.00,50.28,false,1/20/25 12:26 PM,1/20/25 12:26 PM,00:31:11,Order-and-Pay-at-Table
Cupertino,600000034846560113,12,12,1/20/25 11:49 AM,1,,Default Online Ordering,A1,Dining Room,Dining Room,Lunch,Dine In,0.00,49.20,4.50,8.00,0.00,61.70,false,1/20/25 12:22 PM,1/20/25 12:22 PM,00:32:16,Order-and-Pay-at-Table
Cupertino,600000034846688182,13,13,1/20/25 11:50 AM,12,,xin Meng,D3,Dining Room,Dining Room,Lunch,Dine In,0.00,170.80,15.61,27.96,0.00,214.37,false,1/20/25 1:38 PM,1/20/25 1:38 PM,01:48:26,In Store
Cupertino,600000034846696918,14,14,1/20/25 11:54 AM,1,,Default Online Ordering,A7,Dining Room,Dining Room,Lunch,Dine In,0.00,42.40,3.88,8.33,0.00,54.61,false,1/20/25 12:29 PM,1/20/25 12:29 PM,00:35:23,Order-and-Pay-at-Table
Cupertino,600000034846773812,18,18,1/20/25 11:56 AM,1,DD 7ddc9f01 Jean S,Default Online Ordering,,Doordash,,Lunch,DoorDash - Delivery,0.00,81.45,7.43,0.00,0.00,88.88,false,1/20/25 11:56 AM,1/20/25 11:56 AM,00:00:00,API
Cupertino,600000034846835318,17,17,1/20/25 11:55 AM,4,,Yafang Chen,A6,Dining Room,Dining Room,Lunch,Dine In,0.00,60.60,5.55,9.92,0.00,76.07,false,1/20/25 12:35 PM,1/20/25 12:35 PM,00:40:04,In Store
Cupertino,600000034846885633,22,22,1/20/25 12:04 PM,1,,Default Online Ordering,B8,Dining Room,Dining Room,Lunch,Dine In,0.00,43.90,4.02,7.19,0.00,55.11,false,1/20/25 12:30 PM,1/20/25 12:30 PM,00:26:21,Order-and-Pay-at-Table
Cupertino,600000034846938462,21,21,1/20/25 12:02 PM,1,,Default Online Ordering,B7,Dining Room,Dining Room,Lunch,Dine In,0.00,62.20,5.69,12.22,0.00,80.11,false,1/20/25 12:49 PM,1/20/25 12:49 PM,00:47:34,Order-and-Pay-at-Table
Cupertino,600000034846956812,19,19,1/20/25 11:57 AM,1,,Yafang Chen,,None,,Lunch,Take Out,0.00,22.95,2.10,2.00,0.00,27.05,false,1/20/25 12:21 PM,1/20/25 12:21 PM,00:24:17,In Store
Cupertino,600000034847231962,23,23,1/20/25 12:10 PM,1,,Default Online Ordering,C2,Dining Room,Dining Room,Lunch,Dine In,0.00,81.55,7.46,16.02,0.00,105.03,false,1/20/25 12:45 PM,1/20/25 12:45 PM,00:35:21,Order-and-Pay-at-Table
Cupertino,600000034847273626,25,25,1/20/25 12:15 PM,1,,Default Online Ordering,B5,Dining Room,Dining Room,Lunch,Dine In,0.00,33.05,3.02,5.41,0.00,41.48,false,1/20/25 1:39 PM,1/20/25 1:39 PM,01:23:14,Order-and-Pay-at-Table
Cupertino,600000034847382058,24,24,1/20/25 12:13 PM,1,,Default Online Ordering,B6,Dining Room,Dining Room,Lunch,Dine In,0.00,38.65,3.54,6.33,0.00,48.52,false,1/20/25 12:58 PM,1/20/25 12:58 PM,00:45:22,Order-and-Pay-at-Table
Cupertino,600000034847392519,27,27,1/20/25 12:17 PM,1,,Default Online Ordering,B3,Dining Room,Dining Room,Lunch,Dine In,0.00,19.90,1.82,2.00,0.00,23.72,false,1/20/25 1:09 PM,1/20/25 1:09 PM,00:52:09,Order-and-Pay-at-Table
Cupertino,600000034847509894,34,34,1/20/25 12:23 PM,1,,Default Online Ordering,B3,Dining Room,Dining Room,Lunch,Dine In,0.00,17.85,1.63,2.92,0.00,22.40,false,1/20/25 1:13 PM,1/20/25 1:13 PM,00:49:53,Order-and-Pay-at-Table
Cupertino,600000034847510160,26,26,1/20/25 12:17 PM,1,,Default Online Ordering,C3,Dining Room,Dining Room,Lunch,Dine In,0.00,37.15,3.40,6.08,0.00,46.63,false,1/20/25 12:46 PM,1/20/25 12:46 PM,00:28:53,Order-and-Pay-at-Table
Cupertino,600000034847596915,30,30,1/20/25 12:21 PM,1,,Default Online Ordering,B3,Dining Room,Dining Room,Lunch,Dine In,0.00,31.95,2.92,5.23,0.00,40.10,false,1/20/25 1:10 PM,1/20/25 1:10 PM,00:48:39,Order-and-Pay-at-Table
Cupertino,600000034847637164,31,31,1/20/25 12:21 PM,1,,Default Online Ordering,D1,Dining Room,Dining Room,Lunch,Dine In,0.00,65.00,5.94,12.77,0.00,83.71,false,1/20/25 1:18 PM,1/20/25 1:18 PM,00:57:13,Order-and-Pay-at-Table
Cupertino,600000034847638703,28,28,1/20/25 12:20 PM,1,,Default Online Ordering,B3,Dining Room,Dining Room,Lunch,Dine In,0.00,16.25,1.48,2.66,0.00,20.39,false,1/20/25 1:09 PM,1/20/25 1:09 PM,00:48:22,Order-and-Pay-at-Table
Cupertino,600000034847638711,33,33,1/20/25 12:23 PM,1,,Default Online Ordering,B3,Dining Room,Dining Room,Lunch,Dine In,0.00,24.60,2.25,4.03,0.00,30.88,false,1/20/25 1:12 PM,1/20/25 1:12 PM,00:49:44,Order-and-Pay-at-Table
Cupertino,600000034847642397,41,41,1/20/25 12:28 PM,1,,Default Online Ordering,A4,Dining Room,Dining Room,Lunch,Dine In,0.00,39.75,3.64,6.51,0.00,49.90,false,1/20/25 12:50 PM,1/20/25 12:50 PM,00:21:50,Order-and-Pay-at-Table
Cupertino,600000034847684604,32,32,1/20/25 12:21 PM,1,,Default Online Ordering,B3,Dining Room,Dining Room,Lunch,Dine In,0.00,27.20,2.49,5.34,0.00,35.03,false,1/20/25 1:12 PM,1/20/25 1:12 PM,00:50:22,Order-and-Pay-at-Table
Cupertino,600000034847792162,36,36,1/20/25 12:25 PM,1,,Default Online Ordering,B3,Dining Room,Dining Room,Lunch,Dine In,0.00,17.85,1.63,2.92,0.00,22.40,false,1/20/25 1:11 PM,1/20/25 1:11 PM,00:46:01,Order-and-Pay-at-Table
Cupertino,600000034847793514,38,38,1/20/25 12:26 PM,1,,Default Online Ordering,B3,Dining Room,Dining Room,Lunch,Dine In,0.00,20.55,1.88,3.36,0.00,25.79,false,1/20/25 1:10 PM,1/20/25 1:10 PM,00:44:12,Order-and-Pay-at-Table
